ID,Year_Birth,Education,Income,Kidhome,Teenhome,Dt_Customer,Recency,Wines,Fruits,Meat,Fish,Sweets,Gold,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,AcceptedCmp1,AcceptedCmp2,Complain,Response,Month,Year,Month_Year,Age,Frequency,Monetary,Recency_Score,Frequency_Score,Monetary_Score,RFM_Score,Segment
5524,1957,Graduation,58138.0,0,0,2012-09-04,58,635,88,546,172,88,88,3,8,10,4,7,0,0,0,0,0,0,1,9,2012,2012-09,57,25,1617,3,5,5,35,loyal_customers
2174,1954,Graduation,46344.0,1,1,2014-03-08,38,11,1,6,2,1,6,2,1,1,2,5,0,0,0,0,0,0,0,3,2014,2014-03,60,6,27,4,1,1,41,promising
4141,1965,Graduation,71613.0,0,0,2013-08-21,26,426,49,127,111,21,42,1,8,2,10,4,0,0,0,0,0,0,0,8,2013,2013-08,49,21,776,4,4,4,44,loyal_customers
6182,1984,Graduation,26646.0,1,0,2014-02-10,26,11,4,20,10,3,5,2,2,0,4,6,0,0,0,0,0,0,0,2,2014,2014-02,30,8,53,4,2,1,42,potential_loyalists
5324,1981,PhD,58293.0,1,0,2014-01-19,94,173,43,118,46,27,15,5,5,3,6,5,0,0,0,0,0,0,0,1,2014,2014-01,33,19,422,1,4,3,14,at_risk
7446,1967,Master,62513.0,0,1,2013-09-09,16,520,42,98,0,42,14,2,6,4,10,6,0,0,0,0,0,0,0,9,2013,2013-09,47,22,716,5,4,4,54,champions
965,1971,Graduation,55635.0,0,1,2012-11-13,34,235,65,164,50,49,27,4,7,3,7,6,0,0,0,0,0,0,0,11,2012,2012-11,43,21,590,4,4,3,44,loyal_customers
6177,1985,PhD,33454.0,1,0,2013-05-08,32,76,10,56,3,1,23,2,4,0,4,8,0,0,0,0,0,0,0,5,2013,2013-05,29,10,169,4,2,2,42,potential_loyalists
4855,1974,PhD,30351.0,1,0,2013-06-06,19,14,0,24,3,3,2,1,3,0,2,9,0,0,0,0,0,0,1,6,2013,2013-06,40,6,46,5,1,1,51,new_customers
5899,1950,PhD,5648.0,1,1,2014-03-13,68,28,0,6,1,1,13,1,1,0,0,20,1,0,0,0,0,0,0,3,2014,2014-03,64,2,49,2,1,1,21,hibernating
387,1976,Basic,7500.0,0,0,2012-11-13,59,6,16,11,11,1,16,1,2,0,3,8,0,0,0,0,0,0,0,11,2012,2012-11,38,6,61,3,1,2,31,about_to_sleep
2125,1959,Graduation,63033.0,0,0,2013-11-15,82,194,61,480,225,112,30,1,3,4,8,2,0,0,0,0,0,0,0,11,2013,2013-11,55,16,1102,1,3,4,13,at_risk
8180,1952,Master,59354.0,1,1,2013-11-15,53,233,2,53,3,5,14,3,6,1,5,6,0,0,0,0,0,0,0,11,2013,2013-11,62,15,310,3,3,3,33,need_attention
2569,1987,Graduation,17323.0,0,0,2012-10-10,38,3,14,17,6,1,5,1,1,0,3,8,0,0,0,0,0,0,0,10,2012,2012-10,27,5,46,4,1,1,41,promising
2114,1946,PhD,82800.0,0,0,2012-11-24,23,1006,22,115,59,68,45,1,7,6,12,3,0,0,1,1,0,0,1,11,2012,2012-11,68,26,1315,4,5,5,45,loyal_customers
9736,1980,Graduation,41850.0,1,1,2012-12-24,51,53,5,19,2,13,4,3,3,0,3,8,0,0,0,0,0,0,0,12,2012,2012-12,34,9,96,3,2,2,32,about_to_sleep
4939,1946,Graduation,37760.0,0,0,2012-08-31,20,84,5,38,150,12,28,2,4,1,6,7,0,0,0,0,0,0,0,8,2012,2012-08,68,13,317,5,3,3,53,potential_loyalists
6565,1949,Master,76995.0,0,1,2013-03-28,91,1012,80,498,0,16,176,2,11,4,9,5,0,0,0,1,0,0,0,3,2013,2013-03,65,26,1782,1,5,5,15,cant_loose
2278,1985,2n Cycle,33812.0,1,0,2012-11-03,86,4,17,19,30,24,39,2,2,1,3,6,0,0,0,0,0,0,0,11,2012,2012-11,29,8,133,1,2,2,12,hibernating
9360,1982,Graduation,37040.0,0,0,2012-08-08,41,86,2,73,69,38,48,1,4,2,5,8,0,0,0,0,0,0,0,8,2012,2012-08,32,12,316,3,2,3,32,about_to_sleep
5376,1979,Graduation,2447.0,1,0,2013-01-06,42,1,1,1725,1,1,1,15,0,28,0,1,0,0,0,0,0,0,0,1,2013,2013-01,35,43,1730,3,5,5,35,loyal_customers
